ID,poi shape,poi_type,coordinate,longitude,latitude
77,Polygon,museum," 19.0464973, 47.4977954 ",19.0464973,47.4977954
78,Polygon,hotel," 19.0763513, 47.5109299 ",19.0763513,47.5109299
79,Polygon,hotel," 19.0666855, 47.4972367 ",19.0666855,47.4972367
80,Polygon,hotel," 19.0274744, 47.469177 ",19.0274744,47.469177
81,Polygon,gallery," 19.0000873, 47.4680956 ",19.0000873,47.4680956
82,Polygon,hotel," 19.019811, 47.4727416 ",19.019811,47.4727416
83,Polygon,hotel," 19.0201393, 47.472914 ",19.0201393,47.472914
84,Polygon,museum," 19.0345195, 47.4486833 ",19.0345195,47.4486833
85,Polygon,hostel," 19.1438586, 47.4575706 ",19.1438586,47.4575706
86,Polygon,hotel," 18.9577042, 47.5098792 ",18.9577042,47.5098792
87,Polygon,museum," 19.0348582, 47.5159851 ",19.0348582,47.5159851
88,Polygon,attraction," 19.0340171, 47.5017883 ",19.0340171,47.5017883
89,Polygon,museum," 19.0483233, 47.5626829 ",19.0483233,47.5626829
90,Polygon,hotel," 19.1394172, 47.5506133 ",19.1394172,47.5506133
91,Polygon,hotel," 19.0515324, 47.484157 ",19.0515324,47.484157
92,Polygon,attraction," 19.0516318, 47.4834524 ",19.0516318,47.4834524
94,Polygon,hotel," 19.0513719, 47.5335261 ",19.0513719,47.5335261
95,Polygon,attraction," 19.0000023, 47.4263325 ",19.0000023,47.4263325
96,Polygon,hotel," 19.081122, 47.5046474 ",19.081122,47.5046474
97,Polygon,hotel," 18.9711379, 47.3887809 ",18.9711379,47.3887809
98,Polygon,attraction," 19.08452, 47.4849793 ",19.08452,47.4849793
99,Polygon,hotel," 18.9027089, 47.4524262 ",18.9027089,47.4524262
101,Polygon,hostel," 19.038781, 47.4537796 ",19.038781,47.4537796
102,Polygon,gallery," 19.0163296, 47.4633392 ",19.0163296,47.4633392
103,Polygon,hotel," 19.0811589, 47.5004526 ",19.0811589,47.5004526
104,Polygon,museum," 19.0732645, 47.483465 ",19.0732645,47.483465
105,Polygon,museum," 19.0640181, 47.4918716 ",19.0640181,47.4918716
108,Polygon,attraction," 19.0531844, 47.4838196 ",19.0531844,47.4838196
109,Polygon,hotel," 19.0265208, 47.4990768 ",19.0265208,47.4990768
110,Polygon,attraction," 19.0178706, 47.4823167 ",19.0178706,47.4823167
111,Polygon,attraction," 19.0450711, 47.4872258 ",19.0450711,47.4872258
112,Polygon,attraction," 19.0457563, 47.5371576 ",19.0457563,47.5371576
113,Polygon,hotel," 19.0465512, 47.538063 ",19.0465512,47.538063
114,Polygon,gallery," 19.0884891, 47.5591245 ",19.0884891,47.5591245
115,Polygon,museum," 19.087863, 47.5574906 ",19.087863,47.5574906
116,Polygon,gallery," 19.0838867, 47.5465741 ",19.0838867,47.5465741
117,Polygon,gallery," 19.0624561, 47.5382534 ",19.0624561,47.5382534
118,Polygon,hotel," 19.0773416, 47.5599188 ",19.0773416,47.5599188
119,Polygon,hotel," 19.0251814, 47.4859583 ",19.0251814,47.4859583
120,Polygon,guest_house," 19.056057, 47.5182278 ",19.056057,47.5182278
121,Polygon,attraction," 19.0611093, 47.4887464 ",19.0611093,47.4887464
122,Polygon,hotel," 19.0522194, 47.5127641 ",19.0522194,47.5127641
123,Polygon,hotel," 19.0567595, 47.5196425 ",19.0567595,47.5196425
124,Polygon,hotel," 19.108173, 47.4723061 ",19.108173,47.4723061
125,Polygon,attraction," 19.0500367, 47.5302878 ",19.0500367,47.5302878
126,Polygon,gallery," 19.0576424, 47.5232766 ",19.0576424,47.5232766
127,Polygon,hotel," 19.0796921, 47.5661975 ",19.0796921,47.5661975
128,Polygon,guest_house," 19.0688527, 47.5565813 ",19.0688527,47.5565813
129,Polygon,museum," 19.0731702, 47.512204 ",19.0731702,47.512204
130,Polygon,gallery," 19.0623686, 47.4926763 ",19.0623686,47.4926763
131,Polygon,hotel," 19.0593007, 47.5083212 ",19.0593007,47.5083212
132,Polygon,hotel," 18.9652356, 47.4613353 ",18.9652356,47.4613353
133,Polygon,hotel," 19.0465489, 47.4474696 ",19.0465489,47.4474696
134,Polygon,museum," 18.91818, 47.3770764 ",18.91818,47.3770764
136,Polygon,motel," 18.9088336, 47.4523169 ",18.9088336,47.4523169
137,Polygon,hostel," 19.0072883, 47.4456151 ",19.0072883,47.4456151
138,Polygon,hotel," 19.0631895, 47.5072936 ",19.0631895,47.5072936
139,Polygon,museum," 19.0854118, 47.4956847 ",19.0854118,47.4956847
140,Polygon,hotel," 19.0238053, 47.488402 ",19.0238053,47.488402
141,Polygon,gallery," 19.0631689, 47.4763862 ",19.0631689,47.4763862
142,Polygon,guest_house," 19.0098584, 47.3794709 ",19.0098584,47.3794709
143,Polygon,attraction," 19.044648, 47.5189009 ",19.044648,47.5189009
144,Polygon,guest_house," 19.2716124, 47.4099653 ",19.2716124,47.4099653
146,Polygon,museum," 19.3613483, 47.5963516 ",19.3613483,47.5963516
147,Polygon,attraction," 19.3416545, 47.4875573 ",19.3416545,47.4875573
148,Polygon,gallery," 18.9600208, 47.5654584 ",18.9600208,47.5654584
149,Polygon,attraction," 19.0604458, 47.5038684 ",19.0604458,47.5038684
150,Polygon,attraction," 19.0342629, 47.502894 ",19.0342629,47.502894
151,Polygon,gallery," 19.0177837, 47.5051986 ",19.0177837,47.5051986
152,Polygon,gallery," 19.0527807, 47.5981195 ",19.0527807,47.5981195
154,Polygon,hotel," 19.0493788, 47.4954489 ",19.0493788,47.4954489
155,Polygon,hotel," 18.9200495, 47.6160306 ",18.9200495,47.6160306
157,Polygon,hotel," 19.1219176, 47.4932883 ",19.1219176,47.4932883
158,Polygon,hotel," 19.0524128, 47.5320944 ",19.0524128,47.5320944
159,Polygon,attraction," 19.0449872, 47.4993076 ",19.0449872,47.4993076
160,Polygon,gallery," 19.0182729, 47.4898819 ",19.0182729,47.4898819
161,Polygon,gallery," 19.0207851, 47.5133889 ",19.0207851,47.5133889
162,Polygon,gallery," 19.2045682, 47.5096282 ",19.2045682,47.5096282
163,Polygon,museum," 19.2017492, 47.5134489 ",19.2017492,47.5134489
164,Polygon,attraction," 19.0521272, 47.5353044 ",19.0521272,47.5353044
165,Polygon,museum," 19.2303042, 47.5208343 ",19.2303042,47.5208343
166,Polygon,motel," 19.1845026, 47.5223831 ",19.1845026,47.5223831
167,Polygon,hotel," 19.1106725, 47.5008812 ",19.1106725,47.5008812
168,Polygon,hostel," 19.0348886, 47.5520499 ",19.0348886,47.5520499
169,Polygon,hostel," 19.0353715, 47.5520811 ",19.0353715,47.5520811
170,Polygon,hostel," 19.0343928, 47.5520155 ",19.0343928,47.5520155
171,Polygon,hotel," 19.0846935, 47.4756297 ",19.0846935,47.4756297
172,Polygon,gallery," 19.0829773, 47.4766998 ",19.0829773,47.4766998
173,Polygon,attraction," 19.0603733, 47.4958576 ",19.0603733,47.4958576
174,Polygon,museum," 19.358634, 47.591937 ",19.358634,47.591937
175,Polygon,museum," 19.348998, 47.5988438 ",19.348998,47.5988438
176,Polygon,museum," 19.3486652, 47.5975477 ",19.3486652,47.5975477
177,Polygon,hotel," 19.053146, 47.4940818 ",19.053146,47.4940818
178,Polygon,hotel," 19.1119889, 47.6005531 ",19.1119889,47.6005531
179,Polygon,hostel," 19.0467511, 47.5202333 ",19.0467511,47.5202333
180,Polygon,hotel," 19.1256317, 47.4646787 ",19.1256317,47.4646787
182,Polygon,museum," 18.9386959, 47.3360903 ",18.9386959,47.3360903
183,Polygon,museum," 18.938809, 47.336367 ",18.938809,47.336367
184,Polygon,hotel," 19.0623003, 47.4887426 ",19.0623003,47.4887426
185,Polygon,hotel," 19.0557855, 47.5262146 ",19.0557855,47.5262146
186,Polygon,hotel," 19.2457222, 47.4021282 ",19.2457222,47.4021282
188,Polygon,hostel," 19.1569599, 47.4500835 ",19.1569599,47.4500835
189,Polygon,hotel," 19.0606016, 47.4881293 ",19.0606016,47.4881293
190,Polygon,museum," 19.0685493, 47.4861771 ",19.0685493,47.4861771
191,Polygon,gallery," 19.1469931, 47.4601228 ",19.1469931,47.4601228
192,Polygon,guest_house," 19.0600236, 47.48959 ",19.0600236,47.48959
193,Polygon,hotel," 19.0601971, 47.4895137 ",19.0601971,47.4895137
194,Polygon,hotel," 19.1730558, 47.5312719 ",19.1730558,47.5312719
195,Polygon,hostel," 19.0596276, 47.4928694 ",19.0596276,47.4928694
196,Polygon,hostel," 19.0931143, 47.5211063 ",19.0931143,47.5211063
197,Polygon,hostel," 19.0930034, 47.5208919 ",19.0930034,47.5208919
198,Polygon,hotel," 19.0821322, 47.489054 ",19.0821322,47.489054
199,Polygon,gallery," 18.9869003, 47.3926881 ",18.9869003,47.3926881
200,Polygon,hotel," 19.0571719, 47.4881066 ",19.0571719,47.4881066
201,Polygon,hotel," 19.057641, 47.488068 ",19.057641,47.488068
202,Polygon,hotel," 19.0578625, 47.4881647 ",19.0578625,47.4881647
203,Polygon,hotel," 19.057323, 47.4888674 ",19.057323,47.4888674
204,Polygon,hotel," 19.0594509, 47.4898339 ",19.0594509,47.4898339
205,Polygon,hotel," 19.1129498, 47.4772136 ",19.1129498,47.4772136
206,Polygon,motel," 18.921629, 47.3789535 ",18.921629,47.3789535
207,Polygon,hotel," 19.0286233, 47.5058299 ",19.0286233,47.5058299
208,Polygon,museum," 19.0358238, 47.4989727 ",19.0358238,47.4989727
209,Polygon,hotel," 19.031137, 47.5018503 ",19.031137,47.5018503
210,Polygon,hotel," 19.0684996, 47.4788974 ",19.0684996,47.4788974
211,Polygon,hotel," 19.0095876, 47.5084848 ",19.0095876,47.5084848
212,Polygon,museum," 19.0449621, 47.5375031 ",19.0449621,47.5375031
213,Polygon,museum," 19.0434703, 47.5358741 ",19.0434703,47.5358741
214,Polygon,information," 18.9009101, 47.4322043 ",18.9009101,47.4322043
215,Polygon,hotel," 19.0344635, 47.4889043 ",19.0344635,47.4889043
216,Polygon,museum," 19.0358685, 47.4831617 ",19.0358685,47.4831617
217,Polygon,hotel," 19.0271669, 47.4873341 ",19.0271669,47.4873341
218,Polygon,hotel," 19.0392448, 47.4784747 ",19.0392448,47.4784747
219,Polygon,gallery," 19.0436332, 47.5575436 ",19.0436332,47.5575436
220,Polygon,hotel," 19.1593794, 47.5048432 ",19.1593794,47.5048432
221,Polygon,gallery," 19.0643726, 47.489268 ",19.0643726,47.489268
222,Polygon,hotel," 19.1006804, 47.4788106 ",19.1006804,47.4788106
223,Polygon,hotel," 19.0941568, 47.4776836 ",19.0941568,47.4776836
224,Polygon,guest_house," 19.003773, 47.4703921 ",19.003773,47.4703921
225,Polygon,gallery," 19.0676691, 47.4915484 ",19.0676691,47.4915484
226,Polygon,hotel," 19.0904367, 47.5064248 ",19.0904367,47.5064248
227,Polygon,hotel," 19.0902218, 47.5059169 ",19.0902218,47.5059169
228,Polygon,museum," 19.0811955, 47.5035274 ",19.0811955,47.5035274
229,Polygon,hotel," 19.0744058, 47.5122412 ",19.0744058,47.5122412
230,Polygon,gallery," 19.0553772, 47.4992251 ",19.0553772,47.4992251
231,Polygon,attraction," 19.0588473, 47.4977421 ",19.0588473,47.4977421
232,Polygon,hotel," 19.063561, 47.4936614 ",19.063561,47.4936614
233,Polygon,hotel," 19.0775101, 47.498659 ",19.0775101,47.498659
235,Polygon,hotel," 19.109324, 47.4920826 ",19.109324,47.4920826
236,Polygon,hotel," 19.070116, 47.4955754 ",19.070116,47.4955754
239,Polygon,motel," 18.9870683, 47.5212427 ",18.9870683,47.5212427
240,Polygon,hotel," 19.0555845, 47.4886572 ",19.0555845,47.4886572
241,Polygon,hotel," 19.0566422, 47.4886844 ",19.0566422,47.4886844
242,Polygon,hotel," 19.0309441, 47.5138387 ",19.0309441,47.5138387
244,Polygon,hotel," 19.0191099, 47.5089408 ",19.0191099,47.5089408
245,Polygon,motel," 19.345564, 47.5909002 ",19.345564,47.5909002
246,Polygon,museum," 18.9283474, 47.5916497 ",18.9283474,47.5916497
247,Polygon,museum," 18.9297852, 47.5915824 ",18.9297852,47.5915824
248,Polygon,hotel," 19.137457, 47.5137226 ",19.137457,47.5137226
249,Polygon,attraction," 19.0393537, 47.4893198 ",19.0393537,47.4893198
250,Polygon,attraction," 19.2099458, 47.5326121 ",19.2099458,47.5326121
251,Polygon,guest_house," 19.3039928, 47.6062227 ",19.3039928,47.6062227
252,Polygon,museum," 18.9540186, 47.4108683 ",18.9540186,47.4108683
253,Polygon,museum," 18.9358758, 47.4134633 ",18.9358758,47.4134633
254,Polygon,museum," 18.9365554, 47.4125269 ",18.9365554,47.4125269
255,Polygon,hotel," 19.0399978, 47.4983959 ",19.0399978,47.4983959
256,Polygon,hotel," 19.0687476, 47.4902648 ",19.0687476,47.4902648
257,Polygon,guest_house," 18.877789, 47.4496921 ",18.877789,47.4496921
258,Polygon,guest_house," 18.8777202, 47.4499778 ",18.8777202,47.4499778
261,Polygon,attraction," 19.0252947, 47.5760857 ",19.0252947,47.5760857
262,Polygon,gallery," 19.0401442, 47.4170792 ",19.0401442,47.4170792
264,Polygon,gallery," 19.1218354, 47.5337714 ",19.1218354,47.5337714
265,Polygon,guest_house," 19.3967007, 47.5983098 ",19.3967007,47.5983098
266,Polygon,hotel," 18.9193962, 47.4328671 ",18.9193962,47.4328671
267,Polygon,guest_house," 18.8995769, 47.4440751 ",18.8995769,47.4440751
268,Polygon,attraction," 19.3833294, 47.6201211 ",19.3833294,47.6201211
270,Polygon,attraction," 19.0483185, 47.5523524 ",19.0483185,47.5523524
271,Polygon,attraction," 18.9943557, 47.4982364 ",18.9943557,47.4982364
272,Polygon,gallery," 18.9890672, 47.4988991 ",18.9890672,47.4988991
273,Polygon,gallery," 18.9947796, 47.5126351 ",18.9947796,47.5126351
274,Polygon,hotel," 19.0173187, 47.4898266 ",19.0173187,47.4898266
275,Polygon,attraction," 19.053328, 47.5010027 ",19.053328,47.5010027
276,Polygon,hotel," 19.0598694, 47.4940314 ",19.0598694,47.4940314
277,Polygon,gallery," 19.2465068, 47.4809452 ",19.2465068,47.4809452
278,Polygon,museum," 19.0276814, 47.5047606 ",19.0276814,47.5047606
280,Polygon,hotel," 19.0569224, 47.4916165 ",19.0569224,47.4916165
281,Polygon,museum," 18.9882826, 47.5067284 ",18.9882826,47.5067284
282,Polygon,gallery," 18.988111, 47.5009785 ",18.988111,47.5009785
283,Polygon,hotel," 19.0705571, 47.4981886 ",19.0705571,47.4981886
285,Polygon,hotel," 18.988793, 47.4781241 ",18.988793,47.4781241
286,Polygon,information," 19.0848416, 47.4890822 ",19.0848416,47.4890822
288,Polygon,hotel," 19.3937172, 47.420115 ",19.3937172,47.420115
289,Polygon,apartment," 19.3963449, 47.4189928 ",19.3963449,47.4189928
290,Polygon,hotel," 19.0182165, 47.4674404 ",19.0182165,47.4674404
292,Polygon,guest_house," 18.9907851, 47.570027 ",18.9907851,47.570027
293,Polygon,hotel," 19.0465369, 47.5778221 ",19.0465369,47.5778221
294,Polygon,hostel," 19.039317, 47.4657038 ",19.039317,47.4657038
295,Polygon,museum," 18.8904409, 47.5753963 ",18.8904409,47.5753963
296,Polygon,hotel," 19.1130479, 47.4715764 ",19.1130479,47.4715764
297,Polygon,museum," 18.9107224, 47.3217051 ",18.9107224,47.3217051
298,Polygon,hotel," 19.0496887, 47.582316 ",19.0496887,47.582316
299,Polygon,gallery," 19.0471976, 47.5857677 ",19.0471976,47.5857677
300,Polygon,museum," 19.0920679, 47.4904658 ",19.0920679,47.4904658
301,Polygon,museum," 19.0852459, 47.4827841 ",19.0852459,47.4827841
303,Polygon,gallery," 19.1132163, 47.5563314 ",19.1132163,47.5563314
304,Polygon,hotel," 19.082779, 47.5312556 ",19.082779,47.5312556
305,Polygon,museum," 19.0399446, 47.5489459 ",19.0399446,47.5489459
306,Polygon,attraction," 19.0516868, 47.5293625 ",19.0516868,47.5293625
307,Polygon,attraction," 18.9821149, 47.3635631 ",18.9821149,47.3635631
308,Polygon,attraction," 18.9719739, 47.6184235 ",18.9719739,47.6184235
311,Polygon,hotel," 19.0856877, 47.4567955 ",19.0856877,47.4567955
312,Polygon,guest_house," 18.9479554, 47.5926358 ",18.9479554,47.5926358
313,Polygon,attraction," 18.9385012, 47.3608976 ",18.9385012,47.3608976
314,Polygon,museum," 19.0602868, 47.4959008 ",19.0602868,47.4959008
315,Polygon,attraction," 19.0520601, 47.4982989 ",19.0520601,47.4982989
316,Polygon,museum," 19.1001527, 47.4354612 ",19.1001527,47.4354612
317,Polygon,gallery," 19.1014219, 47.4357795 ",19.1014219,47.4357795
318,Polygon,museum," 19.1037847, 47.4383314 ",19.1037847,47.4383314
319,Polygon,hotel," 19.1995275, 47.4859557 ",19.1995275,47.4859557
320,Polygon,hostel," 19.0305841, 47.4738174 ",19.0305841,47.4738174
321,Polygon,hotel," 19.1033391, 47.5214471 ",19.1033391,47.5214471
322,Polygon,hotel," 19.012962, 47.5102483 ",19.012962,47.5102483
323,Polygon,hotel," 19.0061035, 47.5145104 ",19.0061035,47.5145104
324,Polygon,hotel," 18.9801728, 47.4640424 ",18.9801728,47.4640424
325,Polygon,guest_house," 18.9799161, 47.4657515 ",18.9799161,47.4657515
326,Polygon,information," 19.0776196, 47.5182273 ",19.0776196,47.5182273
327,Polygon,museum," 19.0565834, 47.4867909 ",19.0565834,47.4867909
328,Polygon,museum," 19.1048637, 47.5006694 ",19.1048637,47.5006694
330,Polygon,attraction," 18.9681497, 47.5436731 ",18.9681497,47.5436731
331,Polygon,attraction," 19.0424301, 47.4953521 ",19.0424301,47.4953521
332,Polygon,museum," 19.0507168, 47.4688971 ",19.0507168,47.4688971
334,Polygon,museum," 18.9973063, 47.5240325 ",18.9973063,47.5240325
335,Polygon,gallery," 19.1278078, 47.4583722 ",19.1278078,47.4583722
338,Polygon,attraction," 18.9487213, 47.5929769 ",18.9487213,47.5929769
339,Polygon,hotel," 19.0423543, 47.4437404 ",19.0423543,47.4437404
340,Polygon,gallery," 19.0195369, 47.4513733 ",19.0195369,47.4513733
344,Polygon,attraction," 19.0068434, 47.4395559 ",19.0068434,47.4395559
345,Polygon,attraction," 19.0381443, 47.510734 ",19.0381443,47.510734
346,Polygon,attraction," 19.037475, 47.5106222 ",19.037475,47.5106222
347,Polygon,attraction," 19.2395628, 47.5922406 ",19.2395628,47.5922406
348,Polygon,attraction," 19.2496069, 47.5808262 ",19.2496069,47.5808262
349,Polygon,guest_house," 18.9782221, 47.4429137 ",18.9782221,47.4429137
350,Polygon,gallery," 19.0402269, 47.4443413 ",19.0402269,47.4443413
351,Polygon,gallery," 19.0580061, 47.4987012 ",19.0580061,47.4987012
352,Polygon,gallery," 19.1857864, 47.4045732 ",19.1857864,47.4045732
353,Polygon,hotel," 19.2621009, 47.4302577 ",19.2621009,47.4302577
356,Polygon,attraction," 18.9555474, 47.5268879 ",18.9555474,47.5268879
357,Polygon,attraction," 18.9558236, 47.5269433 ",18.9558236,47.5269433
358,Polygon,attraction," 18.9557766, 47.5267687 ",18.9557766,47.5267687
359,Polygon,attraction," 18.9557163, 47.5267773 ",18.9557163,47.5267773
360,Polygon,attraction," 18.9556479, 47.5267837 ",18.9556479,47.5267837
361,Polygon,attraction," 18.9555694, 47.5267936 ",18.9555694,47.5267936
362,Polygon,attraction," 18.9557853, 47.5268258 ",18.9557853,47.5268258
363,Polygon,attraction," 18.9557243, 47.5268335 ",18.9557243,47.5268335
364,Polygon,attraction," 18.9556552, 47.526843 ",18.9556552,47.526843
365,Polygon,attraction," 18.9555899, 47.5268505 ",18.9555899,47.5268505
366,Polygon,attraction," 18.9559436, 47.5268315 ",18.9559436,47.5268315
367,Polygon,motel," 19.120938, 47.526842 ",19.120938,47.526842
369,Polygon,museum," 19.2624788, 47.4230194 ",19.2624788,47.4230194
370,Polygon,hotel," 19.2751243, 47.5545898 ",19.2751243,47.5545898
372,Polygon,hostel," 19.1383727, 47.4886549 ",19.1383727,47.4886549
373,Polygon,attraction," 18.9242905, 47.5262923 ",18.9242905,47.5262923
374,Polygon,attraction," 18.9221798, 47.5251737 ",18.9221798,47.5251737
375,Polygon,attraction," 18.9221798, 47.5251737 ",18.9221798,47.5251737
376,Polygon,attraction," 18.9249557, 47.5252601 ",18.9249557,47.5252601
377,Polygon,attraction," 18.9220899, 47.5242025 ",18.9220899,47.5242025
378,Polygon,attraction," 18.9220348, 47.5242397 ",18.9220348,47.5242397
379,Polygon,attraction," 18.9216597, 47.5248133 ",18.9216597,47.5248133
380,Polygon,attraction," 18.9231985, 47.5244706 ",18.9231985,47.5244706
382,Polygon,attraction," 18.9225422, 47.5239455 ",18.9225422,47.5239455
383,Polygon,attraction," 18.9224374, 47.5239474 ",18.9224374,47.5239474
384,Polygon,attraction," 18.9214281, 47.5243254 ",18.9214281,47.5243254
385,Polygon,attraction," 18.923554, 47.5244536 ",18.923554,47.5244536
386,Polygon,attraction," 18.9237279, 47.5242453 ",18.9237279,47.5242453
388,Polygon,attraction," 18.9260819, 47.5256749 ",18.9260819,47.5256749
389,Polygon,attraction," 18.9261269, 47.5259168 ",18.9261269,47.5259168
390,Polygon,attraction," 18.9259415, 47.526083 ",18.9259415,47.526083
391,Polygon,attraction," 18.9257838, 47.5258804 ",18.9257838,47.5258804
392,Polygon,attraction," 18.9256825, 47.525863 ",18.9256825,47.525863
393,Polygon,attraction," 18.9258025, 47.525974 ",18.9258025,47.525974
394,Polygon,attraction," 18.9258377, 47.52589 ",18.9258377,47.52589
395,Polygon,attraction," 18.9265921, 47.5259996 ",18.9265921,47.5259996
396,Polygon,attraction," 18.9258619, 47.5260038 ",18.9258619,47.5260038
397,Polygon,attraction," 18.9258372, 47.5260065 ",18.9258372,47.5260065
398,Polygon,attraction," 18.9256998, 47.526001 ",18.9256998,47.526001
399,Polygon,attraction," 18.9256547, 47.5259719 ",18.9256547,47.5259719
400,Polygon,attraction," 18.9256239, 47.525929 ",18.9256239,47.525929
401,Polygon,hotel," 19.1114403, 47.6008965 ",19.1114403,47.6008965
402,Polygon,museum," 18.8934045, 47.6107092 ",18.8934045,47.6107092
403,Polygon,apartment," 19.3887908, 47.4123336 ",19.3887908,47.4123336
404,Polygon,guest_house," 18.8901894, 47.5747154 ",18.8901894,47.5747154
