,price_per_sqm,apartment,house,number_of_whole_rooms,floor,number_of_half_rooms,furnish_furnished,furnish_partly_furnished,view_garden,view_panoramic,view_street,balcony,lift,air_conditioner,utility_double_comfort,heating_gas,heating_wall_heating,heating_combination,heating_ceiling,heating_central_heating,heating_electric,heating_floor,heating_circulating,heating_district,available_immediately,condition_of_property_renovated,parking,longitude,latitude,data_index,cluster
285,10.23076923,1,0,2.0,3.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0615927,47.507979600000006,285,4
295,12.07317073,1,0,1.0,2.0,0.0,1.0,0.0,1,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0783703,47.4811187,295,0
302,16.86363636,1,0,1.0,2.0,1.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0.0,19.061004800000003,47.4904273,302,3
307,7.353658537,1,0,2.0,3.0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.0645768,47.485414399999996,307,1
311,11.48571429,1,0,1.0,2.0,0.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0.0,19.0833812,47.4926291,311,4
319,7.9,1,0,3.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.071986399999997,47.50590820000001,319,1
323,13.4,1,0,2.0,2.0,1.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0.0,19.060368,47.502928999999995,323,0
326,10.31111111,1,0,1.0,3.0,1.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0587745,47.4992513,326,4
329,11.04761905,1,0,2.0,1.0,0.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.070768,47.487871000000005,329,4
333,8.444444444,1,0,3.0,5.0,0.0,1.0,0.0,0,0,1,0.0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,19.0540868,47.496858700000004,333,5
352,8.244444443999999,1,0,2.0,3.0,0.0,1.0,0.0,0,0,1,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.085258800000002,47.4859316,352,1
383,8.8875,1,0,3.0,2.0,0.0,1.0,0.0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,19.026906600000004,47.560516,383,1
472,7.733333332999999,1,0,2.0,2.0,0.0,0.0,0.0,1,0,0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1.0,19.1191795,47.5608274,472,1
474,9.098039216,1,0,1.0,2.0,2.0,1.0,0.0,0,0,1,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.1118896,47.5048564,474,1
481,9.275,1,0,1.0,5.0,1.0,0.0,1.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.091773100000005,47.5359383,481,5
484,15.02857143,1,0,1.0,4.0,1.0,1.0,0.0,0,0,1,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.07158054,47.4927865,484,6
486,11.38947368,1,0,3.0,4.0,0.0,1.0,0.0,0,0,1,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,19.0303998,47.4985589,486,6
487,7.157407407000001,1,0,3.0,1.0,1.0,0.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0606555,47.5085639,487,1
498,15.02857143,1,0,2.0,4.0,0.0,1.0,0.0,0,0,1,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.07158054,47.4927865,498,6
512,11.48571429,1,0,1.0,4.0,0.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.04753525,47.50405485,512,6
518,11.58333333,1,0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0.0,19.052108899999997,47.5118841,518,4
532,17.66666667,1,0,2.0,3.0,0.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.0584655,47.5021804,532,3
554,7.58490566,1,0,1.0,2.0,2.0,0.0,1.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,19.1368449,47.456657899999996,554,1
563,8.114754097999999,1,0,2.0,2.0,0.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,19.0794026,47.5083811,563,1
565,7.391304347999999,1,0,4.0,2.0,0.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0665471,47.503895899999996,565,1
567,7.483870968,1,0,2.0,1.0,0.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.062298499999997,47.5077558,567,1
570,16.25,1,0,1.0,4.0,1.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,19.0599135,47.5019968,570,3
659,8.25,1,0,1.0,10.0,2.0,1.0,0.0,0,0,1,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,19.093103,47.4843526,659,5
662,7.58490566,1,0,1.0,7.0,1.0,1.0,0.0,0,1,0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0.0,19.0139305,47.461022799999995,662,5
674,13.79310345,1,0,3.0,3.0,0.0,1.0,0.0,0,0,1,1.0,1.0,1.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,1.0,19.041192499999998,47.497037,674,0
709,8.592592593,1,0,1.0,3.0,1.0,1.0,0.0,0,1,0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0334755,47.4896208,709,1
748,10.3125,1,0,2.0,1.0,0.0,1.0,0.0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,19.0613657,47.5658291,748,4
811,9.285714286000001,1,0,2.0,3.0,0.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0514866,47.5119888,811,1
850,9.833333332999999,1,0,2.0,5.0,1.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.055611399999997,47.4981638,850,5
857,24.0,1,0,1.0,3.0,0.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0593367,47.501551899999995,857,2
859,10.11538462,1,0,2.0,7.0,0.0,0.0,1.0,1,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.072605,47.5357852,859,5
887,7.86440678,1,0,2.0,1.0,0.0,0.0,0.0,0,0,1,1.0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.052016300000002,47.5007607,887,1
893,21.62162162,1,0,5.0,1.0,0.0,1.0,0.0,1,0,0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,19.0331336,47.4990907,893,2
908,9.236111111,1,0,2.0,3.0,0.0,1.0,0.0,0,0,1,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0514866,47.5119888,908,1
923,11.48571429,1,0,1.0,4.0,0.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0.0,19.0483431,47.504385299999996,923,6
957,12.62244898,1,0,3.0,7.0,1.0,0.0,1.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0546974,47.4909373,957,6
976,7.571428571,1,0,2.0,9.0,0.0,0.0,0.0,1,0,0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,19.162318,47.4716382,976,5
978,8.5,1,0,2.0,3.0,1.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.060129,47.502767999999996,978,1
1046,11.38947368,1,0,3.0,4.0,0.0,1.0,0.0,0,0,1,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,19.032273,47.497532,1046,6
1068,8.888888889,1,0,2.0,4.0,0.0,1.0,0.0,0,0,1,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,19.0516294,47.506122600000005,1068,1
1080,12.06097561,1,0,2.0,6.0,1.0,1.0,0.0,0,1,0,1.0,1.0,1.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0515638,47.494310799999994,1080,6
1089,8.828571429,1,0,1.0,2.0,0.0,0.0,1.0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0596086,47.521267200000004,1089,1
1100,14.14141414,1,0,3.0,4.0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.056261499999998,47.4881889,1100,6
1102,13.79310345,1,0,3.0,3.0,0.0,1.0,0.0,0,0,1,1.0,1.0,1.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,1.0,19.041275100000004,47.497055200000005,1102,0
1140,9.740740741,1,0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.071395499999998,47.5221461,1140,4
1158,9.872340426000001,1,0,1.0,1.0,1.0,0.0,0.0,0,0,1,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0633949,47.5023351,1158,4
1159,16.48888889,1,0,2.0,3.0,1.0,1.0,0.0,0,0,0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.046682999999998,47.504896,1159,3
1164,17.83333333,1,0,2.0,3.0,1.0,1.0,0.0,0,0,1,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.049021,47.502012,1164,3
1205,6.628571429,1,0,2.0,4.0,0.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0709266,47.5355105,1205,1
1213,8.66,1,0,2.0,3.0,0.0,1.0,0.0,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0.0,19.1293391,47.5038505,1213,1
1220,9.804878049,1,0,1.0,3.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.066104,47.4984575,1220,4
1229,8.553191489,1,0,1.0,3.0,1.0,1.0,0.0,0,0,0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1.0,19.2028003,47.5060018,1229,1
1232,11.30487805,1,0,3.0,2.0,0.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0601955,47.522484000000006,1232,4
1234,10.2,1,0,3.0,5.0,1.0,0.0,1.0,0,1,0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.051319,47.493570399999996,1234,5
1243,17.0,1,0,2.0,1.0,0.0,1.0,0.0,1,0,0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1.0,19.0704538,47.510053000000006,1243,3
1247,16.04938272,1,0,2.0,3.0,0.0,1.0,0.0,0,0,1,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0540843,47.494279999999996,1247,3
1248,11.12,1,0,2.0,2.0,0.0,1.0,0.0,0,0,1,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,19.0838168,47.4781943,1248,4
1250,10.86486486,1,0,1.0,3.0,0.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0761401,47.4895974,1250,4
1251,19.67213115,1,0,2.0,2.0,0.0,1.0,0.0,1,0,0,0.0,1.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,1.0,19.0666647,47.5074546,1251,3
1267,8.427272727,1,0,4.0,6.0,0.0,0.0,0.0,0,1,0,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0276361,47.4898559,1267,5
1270,10.05,1,0,4.0,3.0,0.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0.0,19.04891168,47.5128294,1270,4
1275,9.088235294,1,0,3.0,3.0,1.0,0.0,1.0,0,1,0,1.0,1.0,1.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0376431,47.49455799,1275,1
1284,13.36923077,1,0,2.0,4.0,0.0,1.0,0.0,0,0,0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.0612687,47.508644700000005,1284,6
1285,9.094117647000001,1,0,3.0,3.0,1.0,1.0,0.0,0,0,1,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0556598,47.5074859,1285,1
1304,18.45833333,1,0,2.0,12.0,0.0,0.0,0.0,0,1,0,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0,0.0,19.0511781,47.5157739,1304,3
1342,7.830985915,1,0,2.0,3.0,1.0,1.0,0.0,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.086514899999997,47.525540299999996,1342,1
1343,11.12,1,0,1.0,2.0,2.0,1.0,0.0,0,0,1,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0838168,47.4781943,1343,4
1344,7.388059701,1,0,3.0,2.0,0.0,1.0,0.0,0,1,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0411423,47.5332926,1344,1
1346,6.541176471,1,0,2.0,1.0,0.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0656057,47.495364200000004,1346,1
1454,9.967741935,1,0,3.0,2.0,0.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.047718,47.476917,1454,4
1463,8.54,1,0,1.0,2.0,1.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0757199,47.495900899999995,1463,1
1477,8.849557522000001,1,0,2.0,3.0,0.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.0656773,47.4832795,1477,1
1480,14.39393939,1,0,2.0,2.0,0.0,1.0,0.0,0,0,1,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.050783600000003,47.502376500000004,1480,0
1498,16.57142857,1,0,1.0,2.0,0.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,19.0618215,47.497023999999996,1498,3
1527,10.15789474,1,0,1.0,2.0,1.0,0.0,1.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0525367,47.4775877,1527,4
1529,10.86486486,1,0,1.0,1.0,1.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.0683298,47.5366395,1529,4
1559,14.13043478,1,0,1.0,4.0,1.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.0563286,47.502338200000004,1559,6
1567,18.86792453,1,0,4.0,3.0,0.0,0.0,0.0,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.0661169,47.507102,1567,3
1589,9.313253012,1,0,3.0,4.0,0.0,1.0,0.0,0,0,1,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.057596899999997,47.50382379999999,1589,1
1596,6.823529412,1,0,2.0,2.0,0.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,19.055109100000003,47.4905287,1596,1
1613,11.86111111,1,0,1.0,6.0,1.0,1.0,0.0,0,0,0,1.0,1.0,0.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,19.0292868,47.4897356,1613,6
1636,13.33333333,1,0,2.0,1.0,0.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1,0.0,19.0581406,47.5019982,1636,0
1655,8.375,1,0,1.0,4.0,1.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0221956,47.49893839999999,1655,1
1656,10.73469388,1,0,2.0,5.0,0.0,1.0,0.0,0,0,1,0.0,0.0,1.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0838168,47.4781943,1656,6
1671,13.07692308,1,0,1.0,1.0,1.0,1.0,0.0,0,0,1,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.028363600000002,47.5121263,1671,0
1685,9.28,1,0,2.0,2.0,0.0,1.0,0.0,0,0,1,1.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0346451,47.537629200000005,1685,4
1706,12.88333333,1,0,2.0,3.0,0.0,1.0,0.0,0,0,1,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,19.035156100000002,47.5152459,1706,6
1711,9.094117647000001,1,0,3.0,3.0,1.0,1.0,0.0,0,0,1,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.05566,47.5074852,1711,1
1730,14.89361702,1,0,1.0,4.0,1.0,1.0,0.0,0,0,0,0.0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0566593,47.5030102,1730,6
1734,20.89552239,1,0,3.0,1.0,0.0,1.0,0.0,1,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0571633,47.507189000000004,1734,2
1741,7.414285714,1,0,2.0,1.0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.0653514,47.49260820000001,1741,1
